Timestamp,"home_to_skyline
",home_to_job,"job_to_skyline
",travel_method,GPA,"current_wage
",work_status,sex,"longitude
","latitude
 "
1/30/2024 13:06:26,10,,,I drive to school,0.85,,Unemployed,Female,-122.435,37.70861
1/30/2024 13:13:32,4.5,23,19,I drive to school,3.36,20,Part-time,Male,-122.49215,37.66411
1/30/2024 13:16:07,0.6,,,I don't drive to school,3.71,,Unemployed,Female,-122.47541,37.63181
1/30/2024 13:16:12,15,3,0,I drive to school,3.06,18.12,Part-time,Female,-122.418411,37.653191
1/30/2024 13:40:39,13,15,10,I drive to school,2.62,22,Part-time,Female,-122.41063,37.65706
1/30/2024 14:12:13,0.1,0.1,0.1,I don't drive to school,3.6,17.1,Part-time,Male,-122.46781,37.63304
1/30/2024 14:14:15,4.9,4.9,0.05,I drive to school,3.45,16.5,Part-time,Female,-122.48,37.68
1/30/2024 14:40:19,3.3,,,I don't drive to school,2,,Unemployed,Male,-122.4754051,37.6766828
1/30/2024 14:42:59,1.1,,,I drive to school,3.66,,Unemployed,Male,-122.44613,37.63168
1/30/2024 17:27:57,7.9,8.9,4.3,I drive to school,3.6,23.34,Full-time,Male,-122.45487,37.72128
1/30/2024 17:34:28,5.7,5.7,,I don't drive to school,3.05,19,Part-time,Female,-50.9902,-29.924841
1/30/2024 17:54:33,2.6,,7.2,I drive to school,3,17,Part-time,Female,-122.43458,37.61489
1/30/2024 18:04:09,4.3,3,3.4,I drive to school,3.5,18.5,Part-time,Female,-122.45736,37.66651
1/30/2024 18:21:52,4.9,1.1,3.1,I drive to school,1.49,19,Part-time,Male,37.663681,-122.491966
1/30/2024 18:41:20,1.4,,,I don't drive to school,3.98,,Unemployed,Male,-122.462766,37.642847
1/30/2024 18:46:01,8.7,5,4.1,I drive to school,2,21.5,Part-time,Male,122.427567,37.7225
1/30/2024 19:01:26,2.1,,,I don't drive to school,4,,Unemployed,Female,-122.469227,37.643545
1/30/2024 19:22:13,8,4.6,17,I drive to school,2.33,21,Part-time,Female,-122.40199,37.73335
1/30/2024 20:25:48,17,9,17,I don't drive to school,3.6,18,Part-time,Female,-88.173119,41.94043
1/30/2024 20:29:04,0.5,15,15,I don't drive to school,2.68,19,Part-time,Female,-122.46253,37.63516
1/30/2024 20:52:45,6.5,2.5,8.4,I drive to school,3.7,18,Part-time,Male,-122.472221,37.691109
1/30/2024 21:33:48,5.1,0.8,6.6,I don't drive to school,3.08,18.28,Full-time,Female,37.65667,-122.40886
1/30/2024 21:36:21,20,,,I drive to school,2.7,,Unemployed,Male,37.68,-122.47
1/30/2024 21:59:22,6,,,I don't drive to school,4,,Unemployed,Male,-122.48288,37.71543
1/30/2024 22:28:45,3.9,0.3,4.2,I drive to school,3.9,18,Part-time,Male,-122.45341,37.66898
1/31/2024 0:09:00,2.3,1.8,3.9,,,17,Part-time,Female,-122.45635,37.65206
1/31/2024 8:59:48,1.3,,,I drive to school,3.53,,Unemployed,Female,-122.45117,37.63907
1/31/2024 10:19:09,2.3,3.8,4.5,I drive to school,3.8,17.2,Part-time,Male,-122.48571,37.61372
1/31/2024 10:28:09,2.3,14.3,16.8,I drive to school,3.5,17.3,Full-time,Female,-122.41634,37.61786
1/31/2024 10:59:51,1.1,,,I drive to school,3.66,,Unemployed,Male,-122.44613,37.63168
1/31/2024 11:00:12,25,10,15,I drive to school,3.4,18.25,Full-time,Female,8,2
1/31/2024 11:00:27,2.4,,,I drive to school,1.8,,Unemployed,Female,122.46668,37.65074
1/31/2024 11:01:28,5.1,1,4.1,I drive to school,3.7,17.25,Part-time,Female,-73.89099,40.67246
1/31/2024 11:02:01,3.2,,3.2,I drive to school,3.6,15,Part-time,Male,-75.46,42.97
1/31/2024 11:05:27,6.6,,,I drive to school,,,Unemployed,Female,-122.47027,37.687923
1/31/2024 11:06:25,3,,,I don't drive to school,,,Unemployed,Female,-122.46766,37.65545
1/31/2024 11:20:47,3,,,I don't drive to school,3.7,,Unemployed,Female,-122.48571,37.61372
1/31/2024 11:23:02,2,10.7,14,I drive to school,2.74,20,Part-time,Male,37.69,-122.47
1/31/2024 11:23:34,5.6,,,I drive to school,2.79,,Unemployed,Female,-122.4230762,37.7029821
1/31/2024 11:33:16,8.7,1.5,8.7,I drive to school,2.96,19.75,Part-time,Male,-122.46,37.72055
1/31/2024 12:27:47,11.2,12.1,19.4,I drive to school,2.78,20,Part-time,Female,122.31521,37.5686
1/31/2024 13:21:51,4.4,3.9,3.9,I don't drive to school,3,18.5,Part-time,Female,37,37
1/31/2024 13:33:16,4.7,,,I don't drive to school,2.39,,Unemployed,Female,-122.46322,37.68488
1/31/2024 15:01:37,2.1,2.9,4.1,I drive to school,3.14,19.5,Part-time,Female,37.6478,-122.45656
1/31/2024 15:36:02,3.8,2.4,2.9,I drive to school,2,19,Full-time,Male,37.65799,-122.443039
1/31/2024 16:28:55,2.1,10,9,I drive to school,3.6,59,Part-time,Male,-122.412483,37.655682
1/31/2024 18:03:56,5.6,5.6,0.1,I don't drive to school,2,18.25,Part-time,Male,-50.9902,-29.924841
